image,mean_gap,var_gap,group
8695.pgm,1.934125,2.583285,A
2114.pgm,2.222625,54.771813,A
5476.pgm,1.996125,2.715610,A
3887.pgm,1.997625,2.060369,A
2903.pgm,1.940750,1.571989,A
4469.pgm,1.892875,1.388649,A
8494.pgm,1.820875,1.042039,A
7248.pgm,2.106125,2.384612,A
3724.pgm,2.074750,3.726912,A
8175.pgm,1.974250,1.746837,A
5721.pgm,2.214250,3.000347,A
5264.pgm,1.951375,1.647511,A
357.pgm,1.882250,1.372135,A
8155.pgm,1.866750,1.352244,A
2594.pgm,2.064750,2.246057,A
4105.pgm,1.960125,3.011785,A
7038.pgm,2.584625,8.877839,B
8372.pgm,2.042250,2.113215,A
481.pgm,1.899625,1.492550,A
3373.pgm,1.907625,1.472092,A
8750.pgm,2.058375,4.752217,A
5319.pgm,1.936250,1.616436,A
5050.pgm,2.008625,1.998551,A
2843.pgm,131.363000,246068.753731,C
5849.pgm,2.841500,122.834878,B
4732.pgm,2.060625,6.997450,A
94.pgm,2.621500,214.877238,B
9371.pgm,1.974875,1.791744,A
2416.pgm,1.974875,1.873994,A
2468.pgm,2.252875,3.815679,A
